Order_ID,Orde_Date,Customer_Name,Profit,Profit_Ratio,Quantity,Sales,Category,Segment,Region,Sub_Category,,,
CA-2011-103800,1/3/2013,Darren Powers,$6 ,34%,2,$16.00 ,Office Supplies,Consumer,Central,Paper,,,
CA-2011-112326,1/4/2013,Phillina Ober,$4 ,36%,3,$12.00 ,Office Supplies,Home Office,Central,Labels,,,
CA-2011-112326,1/4/2013,Phillina Ober,($65),-24%,3,$273.00 ,Office Supplies,Home Office,Central,Storage,,,
CA-2011-112326,1/4/2013,Phillina Ober,($5),-155%,2,$4.00 ,Office Supplies,Home Office,Central,Binders,,,
CA-2011-141817,1/5/2013,Mick Brown,$5 ,25%,3,$20.00 ,Office Supplies,Consumer,East,Art,,,
CA-2011-130813,1/6/2013,Lycoris Saunders,$9 ,48%,3,$19.00 ,Office Supplies,Consumer,West,Paper,,,
CA-2011-106054,1/6/2013,Jack O'Briant,$5 ,41%,3,$13.00 ,Office Supplies,Corporate,South,Art,,,
CA-2011-167199,1/6/2013,Maria Etezadi,$746 ,29%,9,"$2,574.00 ",Furniture,Home Office,South,Chairs,,,
CA-2011-167199,1/6/2013,Maria Etezadi,$274 ,45%,2,$610.00 ,Office Supplies,Home Office,South,Binders,,,
CA-2011-167199,1/6/2013,Maria Etezadi,$1 ,27%,2,$5.00 ,Office Supplies,Home Office,South,Art,,,
CA-2011-167199,1/6/2013,Maria Etezadi,$114 ,29%,2,$392.00 ,Technology,Home Office,South,Phones,,,
CA-2011-167199,1/6/2013,Maria Etezadi,$204 ,27%,4,$756.00 ,Technology,Home Office,South,Phones,,,
CA-2011-167199,1/6/2013,Maria Etezadi,$0 ,1%,4,$31.00 ,Office Supplies,Home Office,South,Fasteners,,,
CA-2011-167199,1/6/2013,Maria Etezadi,$3 ,46%,1,$7.00 ,Office Supplies,Home Office,South,Paper,,,
CA-2011-105417,1/7/2013,Vivek Sundaresam,($54),-70%,3,$77.00 ,Furniture,Consumer,Central,Furnishings,,,
CA-2011-105417,1/7/2013,Vivek Sundaresam,($18),-175%,7,$10.00 ,Office Supplies,Consumer,Central,Binders,,,
CA-2011-135405,1/9/2013,Melanie Seite,$1 ,13%,2,$9.00 ,Office Supplies,Consumer,Central,Art,,,
